head_label,layer_idx,head_idx,count,mean_logit_baseline_wait,mean_logit_ablated_wait,mean_delta_ablated_minus_baseline,mean_abs_delta,max_abs_delta
L14H13,14,13,12,23.416667,23.414062,-0.002604,0.182292,0.34375
L16H13,16,13,12,23.416667,23.582031,0.165365,0.18099,0.640625
L23H12,23,12,12,23.416667,23.240885,-0.175781,0.18099,0.34375
L27H9,27,9,12,23.416667,23.236979,-0.179688,0.179688,0.203125
L10H9,10,9,12,23.416667,23.240885,-0.175781,0.175781,0.25
L17H1,17,1,12,23.416667,23.240885,-0.175781,0.175781,0.359375
L15H7,15,7,12,23.416667,23.347656,-0.06901,0.170573,0.328125
L5H4,5,4,12,23.416667,23.56901,0.152344,0.170573,0.296875
L10H6,10,6,12,23.416667,23.348958,-0.067708,0.169271,0.421875
L3H14,3,14,12,23.416667,23.248698,-0.167969,0.167969,0.25
L16H4,16,4,12,23.416667,23.259115,-0.157552,0.167969,0.375
L16H11,16,11,12,23.416667,23.584635,0.167969,0.167969,0.265625
L25H4,25,4,12,23.416667,23.25,-0.166667,0.166667,0.21875
L3H7,3,7,12,23.416667,23.25,-0.166667,0.166667,0.28125
L18H13,18,13,12,23.416667,23.576823,0.160156,0.165365,0.3125
L10H7,10,7,12,23.416667,23.321615,-0.095052,0.165365,0.359375
L21H3,21,3,12,23.416667,23.582031,0.165365,0.165365,0.328125
L8H10,8,10,12,23.416667,23.339844,-0.076823,0.165365,0.46875
L27H14,27,14,12,23.416667,23.252604,-0.164062,0.164062,0.234375
L0H6,0,6,12,23.416667,23.354167,-0.0625,0.164062,0.59375
L18H15,18,15,12,23.416667,23.580729,0.164062,0.164062,0.359375
L6H14,6,14,12,23.416667,23.252604,-0.164062,0.164062,0.3125
L19H3,19,3,12,23.416667,23.579427,0.16276,0.16276,0.234375
L13H5,13,5,12,23.416667,23.326823,-0.089844,0.16276,0.515625
L1H14,1,14,12,23.416667,23.579427,0.16276,0.16276,0.28125
L15H4,15,4,12,23.416667,23.578125,0.161458,0.161458,0.328125
L22H3,22,3,12,23.416667,23.255208,-0.161458,0.161458,0.203125
L10H3,10,3,12,23.416667,23.385417,-0.03125,0.158854,0.421875
L10H0,10,0,12,23.416667,23.472656,0.05599,0.157552,0.5
L17H2,17,2,12,23.416667,23.329427,-0.08724,0.157552,0.359375
L19H12,19,12,12,23.416667,23.565104,0.148438,0.15625,0.390625
L4H4,4,4,12,23.416667,23.364583,-0.052083,0.15625,0.359375
L25H6,25,6,12,23.416667,23.522135,0.105469,0.154948,0.3125
L6H13,6,13,12,23.416667,23.567708,0.151042,0.153646,0.3125
